loss,params,n_estimators,train_time
0.6398528818617842,"{'boosting_type': 'goss', 'colsample_bytree': 0.6268550103514751, 'early_stopping_rounds': 20, 'learning_rate': 0.016841022263257087, 'metric': 'auc', 'min_child_samples': 365, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 30, 'objective': 'binary', 'reg_alpha': 0.22586694639084692, 'reg_lambda': 0.09145577885311518, 'seed': 42, 'subsample': 0.9011332020654642, 'subsample_for_bin': 20000, 'vebose_eval': 1}",9,0.2556288242340088
0.6405093509951333,"{'boosting_type': 'goss', 'colsample_bytree': 0.9793874886807821, 'early_stopping_rounds': 20, 'learning_rate': 0.013391989738448264, 'metric': 'auc', 'min_child_samples': 245, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 138, 'objective': 'poisson', 'reg_alpha': 0.7948932758947161, 'reg_lambda': 0.11078565745043578, 'seed': 42, 'subsample': 0.6782134395874355, 'subsample_for_bin': 20000, 'vebose_eval': 1}",258,3.3996009826660156
0.6388893948377695,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8740749956330458, 'early_stopping_rounds': 20, 'learning_rate': 0.07721571757924668, 'metric': 'auc', 'min_child_samples': 335, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 126, 'objective': 'poisson', 'reg_alpha': 0.8532187248347397, 'reg_lambda': 0.30854203827178717, 'seed': 42, 'subsample': 0.5519146607816592, 'subsample_for_bin': 180000, 'vebose_eval': 1}",35,0.6688675880432129
0.6406358621764284,"{'boosting_type': 'goss', 'colsample_bytree': 0.8827164776710383, 'early_stopping_rounds': 20, 'learning_rate': 0.02595985835019706, 'metric': 'auc', 'min_child_samples': 115, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 125, 'objective': 'poisson', 'reg_alpha': 0.9010237502883562, 'reg_lambda': 0.2907619578990923, 'seed': 42, 'subsample': 0.5623503296361576, 'subsample_for_bin': 240000, 'vebose_eval': 1}",150,1.9653971195220947
0.6388011735728505,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6174422474500139, 'early_stopping_rounds': 20, 'learning_rate': 0.151686324922124, 'metric': 'auc', 'min_child_samples': 450, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 73, 'objective': 'binary', 'reg_alpha': 0.12318404630169955, 'reg_lambda': 0.9910697973915275, 'seed': 42, 'subsample': 0.7010293069520559, 'subsample_for_bin': 180000, 'vebose_eval': 1}",18,0.3521111011505127
0.6412185512451476,"{'boosting_type': 'goss', 'colsample_bytree': 0.8701740978824899, 'early_stopping_rounds': 20, 'learning_rate': 0.07447574686127698, 'metric': 'auc', 'min_child_samples': 175, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 54, 'objective': 'binary', 'reg_alpha': 0.9661037229320653, 'reg_lambda': 0.3923566774337903, 'seed': 42, 'subsample': 0.8887561362038912, 'subsample_for_bin': 160000, 'vebose_eval': 1}",65,0.684192419052124
0.6414123398038205,"{'boosting_type': 'goss', 'colsample_bytree': 0.7829082777882757, 'early_stopping_rounds': 20, 'learning_rate': 0.08269505045952408, 'metric': 'auc', 'min_child_samples': 135, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 64, 'objective': 'poisson', 'reg_alpha': 0.6498172284765339, 'reg_lambda': 0.7611890050760135, 'seed': 42, 'subsample': 0.8061179476794298, 'subsample_for_bin': 180000, 'vebose_eval': 1}",73,0.8071820735931396
0.6385998814881562,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.960101526847818, 'early_stopping_rounds': 20, 'learning_rate': 0.17767913761869542, 'metric': 'auc', 'min_child_samples': 60, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 68, 'objective': 'binary', 'reg_alpha': 0.4384072434238349, 'reg_lambda': 0.8090356860166645, 'seed': 42, 'subsample': 0.994545904966462, 'subsample_for_bin': 280000, 'vebose_eval': 1}",27,0.43297266960144043
0.6396780797490818,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9983115655526932, 'early_stopping_rounds': 20, 'learning_rate': 0.13184675034555618, 'metric': 'auc', 'min_child_samples': 60, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 68, 'objective': 'binary', 'reg_alpha': 0.41931533513661623, 'reg_lambda': 0.7909671091183519, 'seed': 42, 'subsample': 0.9862586921204011, 'subsample_for_bin': 280000, 'vebose_eval': 1}",26,0.4459500312805176
0.6406178691965659,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.941731550458999, 'early_stopping_rounds': 20, 'learning_rate': 0.05610258072073449, 'metric': 'auc', 'min_child_samples': 125, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 59, 'objective': 'binary', 'reg_alpha': 0.559045066105764, 'reg_lambda': 0.826141730575368, 'seed': 42, 'subsample': 0.9899653247783594, 'subsample_for_bin': 280000, 'vebose_eval': 1}",70,0.8391809463500977
